display,name_kr,name_en,ticker,type,enabled,aliases
GRT,GRT,,900290.KQ,company,1,
맵스리얼티1,맵스리얼티1,,094800.KS,company,1,
로스웰,로스웰,,900260.KQ,company,1,
맥쿼리인프라,맥쿼리인프라,,088980.KS,company,1,
크리스탈신소재,크리스탈신소재,,900250.KQ,company,1,
우진,우진,,105840.KS,company,1,
인화정공,인화정공,,101930.KQ,company,1,
대원산업,대원산업,,005710.KQ,company,1,
대동,대동,,000490.KS,company,1,
삼화콘덴서공업,삼화콘덴서공업,,001820.KS,company,1,
유니온,유니온,,000910.KS,company,1,
우진플라임,우진플라임,,049800.KS,company,1,
KNN,KNN,,058400.KQ,company,1,
삼보판지,삼보판지,,023600.KQ,company,1,
서연이화,서연이화,,200880.KS,company,1,
대한방직,대한방직,,001070.KS,company,1,
갤럭시아에스엠,갤럭시아에스엠,,011420.KS,company,1,
러셀,러셀,,217500.KQ,company,1,
컬러레이,컬러레이,,900310.KQ,company,1,
특수건설,특수건설,,026150.KQ,company,1,
오가닉티코스메틱,오가닉티코스메틱,,900300.KQ,company,1,
유수홀딩스,유수홀딩스,,000700.KS,company,1,
세동,세동,,053060.KQ,company,1,
성광벤드,성광벤드,,014620.KQ,company,1,
이스트아시아홀딩스,이스트아시아홀딩스,,900110.KQ,company,1,
대원전선,대원전선,,006340.KS,company,1,
다원시스,다원시스,,068240.KQ,company,1,
태림포장,태림포장,,011280.KS,company,1,
지니언스,지니언스,,263860.KQ,company,1,
보성파워텍,보성파워텍,,006910.KQ,company,1,
극동유화,극동유화,,014530.KS,company,1,
세코닉스,세코닉스,,053450.KQ,company,1,
티로보틱스,티로보틱스,,117730.KQ,company,1,
일진홀딩스,일진홀딩스,,015860.KS,company,1,
하나기술,하나기술,,299030.KQ,company,1,
제일파마홀딩스,제일파마홀딩스,,002620.KS,company,1,
조광피혁,조광피혁,,004700.KS,company,1,
디알젬,디알젬,,263690.KQ,company,1,
팅크웨어,팅크웨어,,084730.KQ,company,1,
레이크머티리얼즈,레이크머티리얼즈,,281740.KQ,company,1,
인텔리안테크,인텔리안테크,,189300.KQ,company,1,
라파스,라파스,,214260.KQ,company,1,
아이디피,아이디피,,332370.KQ,company,1,
진매트릭스,진매트릭스,,109820.KQ,company,1,
